,304399 ,BEANS FRESH UNSPECIFIED ,71 ,San Bernardino ,24 ,2.88 ,69 ,1318.84 ,TON ,91000
2007 ,304399 ,BEANS FRESH UNSPECIFIED ,99 ,Stanislaus ,2450 ,1.60 ,3920 ,527.04 ,TON ,2066000
2007 ,304399 ,BEANS FRESH UNSPECIFIED ,991 ,Sum of Others ,384 ,0.71 ,271 ,1864.21 ,TONS ,505200
2007 ,304399 ,BEANS FRESH UNSPECIFIED , 999, State Totals,4072 ,2.60 ,10576 ,972.46 ,    ,10284700
2007 ,161742 ,BEANS GARBANZO ,991 ,Sum of Others ,2275 ,1.51 ,3429 ,595.36 ,TONS ,2041500
2007 ,161742 ,BEANS GARBANZO , 999, Sta
