3,,,,,,,,,,,,,
"S0601",10.0,"Median age (years)","36.5","+/-0.1","32.5","+/-0.1","44.7","+/-0.2","37.5","+/-0.7",,,,
"S0601",10.3,,,,,,,,,,,,,
"S0601",10.5,"SEX",,,,,,,,,,,,
"S0601",11.0,"Male","49.1","+/-0.1","49.2","+/-0.1","48.1","+/-0.2","50.4","+/-1.1",,,,
"S0601",12.0,"Female","50.9","+/-0.1","50.8","+/-0.1","51.9","+/-0.2","49.6","+/-1.1",,,,
"S0601",12.3,,,,,,,,,,,,,
"S0601",12.5,"RACE AND HISPANIC OR LATINO ORIGIN",,,,,,,,,,,,
"S0601",13.0,"One race","98.2","+/-0.1","98.1","+/-0.1","98.3","+/-0.1",
