5,000 to $24,999","1,558","+/-597","961","2,155"
"C19037",6.000,"$25,000 to $34,999","1,852","+/-695","1,157","2,547"
"C19037",7.000,"$35,000 to $49,999","1,720","+/-748","972","2,468"
"C19037",8.000,"$50,000 to $74,999","1,159","+/-505","654","1,664"
"C19037",9.000,"$75,000 to $99,999","164","+/-133","31","297"
"C19037",10.000,"$100,000 to $149,999","0","+/-265","0","265"
"C19037",11.000,"$150,000 to $199,999","0","+/-265","0","265"
"C19037",12.000,"$200,000 or more","0","+/-265","0","265"
"C19037",13.000,
