shing, and forestry occupations","31,831","+/-12,461","19,370","44,292"
"B24022",29.000,"Construction, extraction, maintenance, and repair occupations:","49,460","+/-6,618","42,842","56,078"
"B24022",30.000,"Construction and extraction occupations","48,351","+/-7,806","40,545","56,157"
"B24022",31.000,"Installation, maintenance, and repair occupations","51,636","+/-14,474","37,162","66,110"
"B24022",32.000,"Production, transportation, and material moving occupations:","45,207","+/-12,057","33,150","57,264"
