2)",288,"Median value (dollars)","297,700","+/-7,259","304,700","+/-19,748"
"529","English (015, 022)",289,"Median selected monthly owner costs with a mortgage (dollars)","1,636","+/-38","1,609","+/-126"
"529","English (015, 022)",290,"Median selected monthly owner costs without a mortgage (dollars)","407","+/-21","384","+/-28"
"529","English (015, 022)",291,"Renter-occupied housing units","106,718","+/-4,348","13,789","+/-1,673"
"529","English (015, 022)",292,"Less than 30 percent","54.5","+/-2.9","55.7","
