 ,ORANGES NAVEL ,65 ,Riverside ,1394 ,9.00 ,12546 ,998.40 ,TONS ,12525900
2007 ,201119 ,ORANGES NAVEL ,71 ,San Bernardino ,1400 ,6.14 ,8600 ,418.90 ,TON ,3602500
2007 ,201119 ,ORANGES NAVEL ,73 ,San Diego ,1420 ,7.10 ,10082 ,310.00 ,TON ,3125400
2007 ,201119 ,ORANGES NAVEL ,107 ,Tulare ,73600 ,11.52 ,848000 ,489.92 ,TON ,415456000
2007 ,201119 ,ORANGES NAVEL ,111 ,Ventura ,394 ,9.52 ,3752 ,485.61 ,TON ,1822000
2007 ,201119 ,ORANGES NAVEL ,991 ,Sum of Others ,142 ,5.18 ,736 ,1076.49 ,TONS ,792300
2007 
