,82.000,"$15,000 to $17,499","169","+/-164","5","333"
"B20005F",83.000,"$17,500 to $19,999","267","+/-170","97","437"
"B20005F",84.000,"$20,000 to $22,499","184","+/-182","2","366"
"B20005F",85.000,"$22,500 to $24,999","42","+/-69","0","111"
"B20005F",86.000,"$25,000 to $29,999","418","+/-335","83","753"
"B20005F",87.000,"$30,000 to $34,999","172","+/-165","7","337"
"B20005F",88.000,"$35,000 to $39,999","310","+/-239","71","549"
"B20005F",89.000,"$40,000 to $44,999","101","+/-120","0","221"
"B20005F",90.000
