more workers in the past 12 months","49.6","+/-0.6","46.0","+/-0.9",,,,,,,,
"S2302",17.3,,,,,,,,,,,,,
"S2302",18.0,"Married-couple families","1,104,122","+/-13,806","504,890","+/-9,730",,,,,,,,
"S2302",19.0,"Householder worked full-time, year-round in the past 12 months","52.9","+/-0.8","62.8","+/-1.2",,,,,,,,
"S2302",20.0,"Spouse worked full-time, year-round in the past 12 months","25.3","+/-0.8","27.3","+/-1.2",,,,,,,,
"S2302",21.0,"Householder worked part-time or part-year in the past 12 months","21.3","
