on, maintenance, and repair occupations:","272","+/-270","2","542"
"C24060",116.000,"Construction and extraction occupations","207","+/-249","0","456"
"C24060",117.000,"Installation, maintenance, and repair occupations","65","+/-105","0","170"
"C24060",118.000,"Production, transportation, and material moving occupations:","664","+/-467","197","1,131"
"C24060",119.000,"Production occupations","302","+/-255","47","557"
"C24060",120.000,"Transportation and material moving occupations","362","+/-346","16","708"
