,249"
Whitman County,Washington,"40,631","40,375","40,685","40,740","40,740"
.Albion town,Washington,610,608,614,616,616
.Colfax city,Washington,"2,784","2,775","2,830","2,844","2,844"
.Colton town,Washington,382,379,385,386,386
.Endicott town,Washington,610,611,619,621,621
.Farmington town,Washington,147,148,152,153,153
.Garfield town,Washington,628,628,638,641,641
.La Crosse town,Washington,369,370,378,380,380
.Lamont town,Washington,104,103,105,106,106
.Malden town,Washington,209,209,214,215,215
.Oakesda
