 age --",,,,
"B01002E",1.000,"Total:","-","**","**","**"
"B01002E",2.000,"Male","-","**","**","**"
"B01002E",3.000,"Female","-","**","**","**"
"B01002F",.,"MEDIAN AGE BY SEX (SOME OTHER RACE ALONE)",,,,
"B01002F",.,"Universe:  Some other race alone population",,,,
"B01002F",0.700,"Median age --",,,,
"B01002F",1.000,"Total:","20.4","+/-8.8","11.6","29.2"
"B01002F",2.000,"Male","20.2","+/-10.6","9.6","30.8"
"B01002F",3.000,"Female","24.4","+/-26.7","0.0","51.1"
"B01002G",.,"MEDIAN AGE BY SEX (TWO OR MORE RACE
