VE,COOK,IL,41.92,-87.84,AT TRITON COLLEGE - A 20 FOOT,8 INCH DIAMETER,TREE LIMB DOWN. (LOT)
2210,UNK,BUTLER,CHOCTAW,AL,32.09,-88.22,TREES AND POWER DOWN IN AND AROUND BUTLER. (MOB)
2210,UNK,10 SSE MORGANTON,BURKE,NC,35.61,-81.63,TREES DOWN ON OLD HWY 18 AND SR24. (GSP)
2212,UNK,WOODRUFF,SPARTANBURG,SC,34.74,-82.03,ONE TREE DOWN AT THE INTERSECTION OF HWY 221 AND OLD SPARTANBURG HWY WITH ANOTHER TREE DOWN AT 1143 OLD SPARTANBURG HWY (GSP)
2213,UNK,RAIFORD,UNION,FL,30.06,-82.24,WIND BLEW TREE DOWN ON POWERLIN
