,"75 years and over","963","+/-446","517","1,409"
"B17001B",17.000,"Female:","48,096","+/-4,979","43,117","53,075"
"B17001B",18.000,"Under 5 years","3,847","+/-1,068","2,779","4,915"
"B17001B",19.000,"5 years","817","+/-447","370","1,264"
"B17001B",20.000,"6 to 11 years","5,640","+/-1,330","4,310","6,970"
"B17001B",21.000,"12 to 14 years","2,081","+/-840","1,241","2,921"
"B17001B",22.000,"15 years","654","+/-387","267","1,041"
"B17001B",23.000,"16 and 17 years","1,934","+/-718","1,216","2,652"
"B17001B",24.
