",3.000,"Car, truck, or van - carpooled","17,134","+/-2,314","14,820","19,448"
"C08105H",4.000,"Public transportation (excluding taxicab)","1,968","+/-1,021","947","2,989"
"C08105H",5.000,"Taxicab, motorcycle, bicycle, walked, or other means","6,350","+/-1,558","4,792","7,908"
"C08105H",6.000,"Worked at home","12,909","+/-1,746","11,163","14,655"
"C08105I",.,"MEANS OF TRANSPORTATION TO WORK (HISPANIC OR LATINO)",,,,
"C08105I",.,"Universe:  Hispanic or Latino workers 16 years and over",,,,
"C08105I",1.000,"T
