or Latino",129,"Male","50.5","+/-0.4","51.0","+/-0.3"
"451","White alone, not Hispanic or Latino",130,"Female","49.5","+/-0.4","49.0","+/-0.3"
"451","White alone, not Hispanic or Latino",131,"Foreign born","107,657","+/-5,914","17,122","+/-2,494"
"451","White alone, not Hispanic or Latino",132,"Male","51.7","+/-2.6","43.7","+/-6.7"
"451","White alone, not Hispanic or Latino",133,"Female","48.3","+/-2.6","56.3","+/-6.7"
"451","White alone, not Hispanic or Latino",134,"Naturalized U.S. citizen","39,121","+/-3
