ransportation and warehousing, and utilities","98,129","+/-5,474","92,655","103,603"
"B08126",8.000,"Information","65,483","+/-3,773","61,710","69,256"
"B08126",9.000,"Finance and insurance, and real estate and rental and leasing","170,860","+/-6,984","163,876","177,844"
"B08126",10.000,"Professional, scientific, and management, and administrative and waste management services","337,630","+/-8,401","329,229","346,031"
"B08126",11.000,"Educational services, and health care and social assistance","413,049","+
