 to 1949","0.5%","0.2","1.2%","0.5",
"DP04",25.0,"Built 1939 or earlier","0.7%","0.2","0.4%","0.2",
"DP04",25.3,,,,,,
"DP04",25.5,"ROOMS",,,,,
"DP04",26.0,"Total housing units","101,184","55","98,735","160","*"
"DP04",27.0,"1 room","0.4%","0.2","0.5%","0.3",
"DP04",28.0,"2 rooms","2.5%","0.5","3.5%","0.7",
"DP04",29.0,"3 rooms","8.4%","1.0","9.2%","1.0",
"DP04",30.0,"4 rooms","19.6%","1.4","20.9%","1.1",
"DP04",31.0,"5 rooms","35.0%","1.6","32.8%","1.5",
"DP04",32.0,"6 rooms","22.4%","1.5","19.3%","1.4",
"D
