,"Motor vehicle operators","35,605","+/-1,838","33,767","37,443"
"B24022",37.000,"Material moving workers","30,872","+/-1,386","29,486","32,258"
"B24022",38.000,"Female:","40,717","+/-504","40,213","41,221"
"B24022",39.000,"Management, professional, and related occupations:","55,403","+/-993","54,410","56,396"
"B24022",40.000,"Management, business, and financial occupations:","61,183","+/-1,492","59,691","62,675"
"B24022",41.000,"Management occupations","65,087","+/-3,274","61,813","68,361"
"B24022",42.000,
