vania,503,496,494,489,491,492,492,492
Seward borough,Pennsylvania,466,468,473,476,480,483,484,484
Sewickley borough,Pennsylvania,"3,674","3,729","3,762","3,804","3,848","3,891","3,902","3,902"
Sewickley Heights borough,Pennsylvania,940,949,959,965,969,979,981,981
Sewickley Hills borough,Pennsylvania,629,638,643,650,654,652,652,652
Shade Gap borough,Pennsylvania,93,94,95,95,96,97,97,97
Shamokin city,Pennsylvania,"7,581","7,652","7,734","7,805","7,885","7,992","8,009","8,009"
Shamokin Dam borough,Penns
