5.000,"$5,000 to $7,499","629","+/-438","191","1,067"
"B20005",56.000,"$7,500 to $9,999","1,381","+/-664","717","2,045"
"B20005",57.000,"$10,000 to $12,499","4,466","+/-1,066","3,400","5,532"
"B20005",58.000,"$12,500 to $14,999","2,636","+/-700","1,936","3,336"
"B20005",59.000,"$15,000 to $17,499","4,922","+/-1,270","3,652","6,192"
"B20005",60.000,"$17,500 to $19,999","3,122","+/-665","2,457","3,787"
"B20005",61.000,"$20,000 to $22,499","6,653","+/-1,475","5,178","8,128"
"B20005",62.000,"$22,500 to $24,999"
