I",.,"SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (HISPANIC OR LATINO)",,,,
"B14001I",.,"Universe:  Hispanic or Latino population 3 years and over",,,,
"B14001I",1.000,"Total:","2,851","+/-901","1,950","3,752"
"B14001I",2.000,"Enrolled in school:","906","+/-444","462","1,350"
"B14001I",3.000,"Enrolled in nursery school, kindergarten","30","+/-60","0","90"
"B14001I",4.000,"Enrolled in grade 1 to grade 8","309","+/-277","32","586"
"B14001I",5.000,"Enrolled in grade 9 to grade 12",
