.1%","0.5","1.4%","0.6",
"DP05",62.0,"Asian","0.5%","0.2","N","N","N"
"DP05",63.0,"Native Hawaiian and Other Pacific Islander","N","N","N","N","N"
"DP05",64.0,"Some other race","0.8%","0.3","0.4%","0.2",
"DP05",64.3,,,,,,
"DP05",64.5,"HISPANIC OR LATINO AND RACE",,,,,
"DP05",65.0,"Total population","101,459","*****","102,838","*****","c"
"DP05",66.0,"Hispanic or Latino (of any race)","0.8%","0.4","N","N","N"
"DP05",67.0,"Mexican","N","N","N","N","N"
"DP05",68.0,"Puerto Rican","N","N","N","N","N"
"DP05",69.0
