ntion, and other protective service workers including supervisors","14,810","+/-2,260","12,550","17,070"
"C24020",22.000,"Law enforcement workers including supervisors","17,927","+/-2,012","15,915","19,939"
"C24020",23.000,"Food preparation and serving related occupations","18,642","+/-2,600","16,042","21,242"
"C24020",24.000,"Building and grounds cleaning and maintenance occupations","23,867","+/-2,746","21,121","26,613"
"C24020",25.000,"Personal care and service occupations","5,856","+/-1,404","4,452","7,
