188","13,115","13,274","13,027"
24,Bogalusa city,Louisiana,"13,064","13,176","13,314","13,365","13,365"
25,West Monroe city,Louisiana,"13,049","13,065","13,219","13,250","13,250"
26,Bastrop city,Louisiana,"12,717","12,835","12,974","12,988","12,988"
27,Morgan City city,Louisiana,"12,256","12,395","12,630","12,703","12,703"
28,Abbeville city,Louisiana,"11,778","11,795","11,866","11,887","11,887"
29,Zachary city,Louisiana,"11,642","11,471","11,321","11,275","11,275"
30,Eunice city,Louisiana,"11,409","11,465",
