0,"5 to 15 years:","152","+/-140","12","292"
"B18033",18.000,"Income in the past 12 months below the poverty level","98","+/-114","0","212"
"B18033",19.000,"Income in the past 12 months at or above the poverty level","54","+/-89","0","143"
"B18033",20.000,"16 to 20 years:","403","+/-426","0","829"
"B18033",21.000,"Income in the past 12 months below the poverty level","256","+/-363","0","619"
"B18033",22.000,"Income in the past 12 months at or above the poverty level","147","+/-246","0","393"
"B18033",23.000
