 to $49,999","16,294","+/-1,580","14,714","17,874"
"B08519",61.000,"$50,000 to $64,999","13,631","+/-1,732","11,899","15,363"
"B08519",62.000,"$65,000 to $74,999","4,990","+/-1,015","3,975","6,005"
"B08519",63.000,"$75,000 or more","21,722","+/-2,390","19,332","24,112"
"B08521",.,"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY",,,,
"B08521",.,"Universe:  Workers 16 years and over",,,,
"B08521",0.700,"Median earnings in th
