)",109,"Civilian veteran","12.1","+/-0.6","15.5","+/-2.1"
"529","English (015, 022)",110,"Civilian population 5 years and over","615,807","+/-4,631","80,739","+/-5,616"
"529","English (015, 022)",111,"With any disability","24.6","+/-0.9","22.8","+/-2.5"
"529","English (015, 022)",112,"Civilian population 5 to 15 years","86,065","+/-2,155","10,017","+/-1,764"
"529","English (015, 022)",113,"With any disability","9.8","+/-1.6","3.7","+/-3.4"
"529","English (015, 022)",114,"Civilian population 16 to 64 years",
