ouseholder, no spouse present, family","6.7","+/-1.1","8.2","+/-4.1"
"535","German (032-045)",232,"Median income (dollars)","31,289","+/-1,405","45,766","+/-26,697"
"535","German (032-045)",233,"Female householder, no husband present, family","16.9","+/-1.6","15.4","+/-3.4"
"535","German (032-045)",234,"Median income (dollars)","22,028","+/-2,695","28,353","+/-6,548"
"535","German (032-045)",235,"Individuals","665,912","+/-4,758","81,607","+/-7,195"
"535","German (032-045)",236,"Per capita income (dollars)"
