/-9.5",,,,
"S0601",5.0,"25 to 44 years","25.8","+/-0.6","23.0","+/-0.7","29.8","+/-1.4","37.5","+/-11.2",,,,
"S0601",6.0,"45 to 54 years","13.0","+/-0.5","12.2","+/-0.5","15.3","+/-1.1","24.9","+/-9.7",,,,
"S0601",7.0,"55 to 64 years","10.1","+/-0.4","10.0","+/-0.5","11.3","+/-0.8","8.6","+/-5.1",,,,
"S0601",8.0,"65 to 74 years","7.3","+/-0.4","7.5","+/-0.4","7.4","+/-0.7","1.7","+/-2.1",,,,
"S0601",9.0,"75 years and over","8.5","+/-0.4","9.0","+/-0.4","8.1","+/-0.9","1.7","+/-2.2",,,,
"S0601",9.3,,,,,,,,,,
