surance, and real estate and rental and leasing","29,929","+/-2,685","27,244","32,614"
"C24050",10.000,"Professional, scientific, and management, and administrative and waste management services","52,637","+/-4,052","48,585","56,689"
"C24050",11.000,"Educational services, and health care and social assistance","61,172","+/-3,478","57,694","64,650"
"C24050",12.000,"Arts, entertainment, and recreation, and accommodation and food services","60,163","+/-4,581","55,582","64,744"
"C24050",13.000,"Other services, 
