45 to 49 years,"13,512",12.8,"7,289",13.6,"6,223",12.1
.50 to 54 years,"11,561",11.0,"6,093",11.3,"5,468",10.6
.55 to 59 years,"9,447",9.0,"5,004",9.3,"4,443",8.6
.60 and 61 years,"3,216",3.1,"1,859",3.5,"1,357",2.6
.62 to 64 years,"3,805",3.6,"2,246",4.2,"1,559",3.0
.65 and 66 years,"2,132",2.0,"1,338",2.5,794,1.5
.67 to 69 years,"2,801",2.7,"1,780",3.3,"1,021",2.0
.70 to 74 years,"3,444",3.3,"2,398",4.5,"1,046",2.0
.75 to 79 years,"1,763",1.7,"1,207",2.2,556,1.1
.80 to 84 years,734,0.7,471,0.9,263,0.5
.85
