9","7.5","+/-0.9"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",278,"1 or more","91.1","+/-0.9","92.5","+/-0.9"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",279,"Gas","60.9","+/-1.2","63.1","+/-1.4"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",280,"Electricity","38.0","+/-1.2","35.6","+/-1.4"
"452","White alone or in combination with one or more other races, not Hispanic o
