22)",97,"Female, high school graduate or higher","86.8","+/-0.9","95.0","+/-1.9"
"529","English (015, 022)",98,"Bachelor's degree or higher","29.5","+/-0.9","37.7","+/-2.6"
"529","English (015, 022)",99,"Male, bachelor's degree or higher","30.7","+/-1.3","43.2","+/-4.5"
"529","English (015, 022)",100,"Female, bachelor's degree or higher","28.3","+/-1.1","33.5","+/-3.1"
"529","English (015, 022)",101,"Women 15 to 50 years","237,316","+/-1,432","18,516","+/-2,539"
"529","English (015, 022)",102,"Women 15 to 5
