)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"S2501",0.0,,,,,,,,,,,,,
"S2501",0.5,,"Occupied housing units","Margin of Error","Owner-occupied housing units","Margin of Error","Renter-occupied housing units","Margin of Error",,,,,,
"S2501",1.0,"Occupied housing units","36,207","+/-1,628","27,744","+/-1,892","8,463","+/-1,503",,,,,,
"S2501",1.5,"HOUSEHOLD SIZE",,,,,,,,,,,,
"S2501",2.0,"1-person household","27.7","+/-4.6","20.0","+/-4.3","52.9","+/-11.5",,,,,,
"S2501",3.0,"2-person household","31.6","+/-3.5","
