13",.,"Universe:  Some other race alone or in combination with one or more other races",,,,
"B02013",1.000,"Total:","68,426","+/-9,636","58,790","78,062"
"B03001",.,"HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN",,,,
"B03001",.,"Universe:  Total population",,,,
"B03001",1.000,"Total:","788,398","+/-16,857","771,541","805,255"
"B03001",2.000,"Not Hispanic or Latino","614,627","+/-14,458","600,169","629,085"
"B03001",3.000,"Hispanic or Latino:","173,771","+/-8,410","165,361","182,181"
"B03001",4.000,"Mexican",
