for male full-time, year-round workers (dollars)","41,047","3,752","34,824","2,454",
"DP03",95.0,"Median earnings for female full-time, year-round workers (dollars)","25,342","1,618","27,420","1,562",
"DP03",95.3,,,,,,
"DP03",96.0,"All families","13.6","**","15.8","**",
"DP03",97.0,"With related children under 18 years","20.7","**","26.5","**",
"DP03",98.0,"With related children under 5 years only","19.8","**","23.4","**",
"DP03",99.0,"Married couple families","4.5","**","6.4","**",
"DP03",100.0,"With relat
