0US3613","1"," 34","           179","             0","           486"
"50000US3613","1"," 35","         3,280","             0","         7,536"
"50000US3613","1"," 36","             0","             0","           503"
"50000US3613","1"," 37","             N","             N","             N"
"50000US3613","1"," 38","             N","             N","             N"
"50000US3613","1"," 39","             N","             N","             N"
"50000US3613","1"," 40","             N","             N","  
