000,"Under 5 years only","369","+/-272","97","641"
"B17022",79.000,"Under 5 years and 5 to 17 years","214","+/-198","16","412"
"B17022",80.000,"5 to 17 years only","2,894","+/-728","2,166","3,622"
"B17022",81.000,"No related children under 18 years","6,455","+/-1,081","5,374","7,536"
"B17023",.,"POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY NUMBER OF OWN CHILDREN UNDER 18 YEARS",,,,
"B17023",.,"Universe:  Families",,,,
"B17023",1.000,"Total:","157,855","+/-4,148","153,707","162,003"
