7.000,"10:00 a.m. to 10:59 a.m.","7,416","+/-1,291","6,125","8,707"
"B08132",28.000,"11:00 a.m. to 11:59 a.m.","4,624","+/-1,407","3,217","6,031"
"B08132",29.000,"12:00 p.m. to 3:59 p.m.","19,004","+/-2,333","16,671","21,337"
"B08132",30.000,"4:00 p.m. to 11:59 p.m.","15,440","+/-2,168","13,272","17,608"
"B08132",31.000,"Car, truck, or van - carpooled:","35,614","+/-3,943","31,671","39,557"
"B08132",32.000,"12:00 a.m. to 4:59 a.m.","653","+/-369","284","1,022"
"B08132",33.000,"5:00 a.m. to 5:29 a.m.","924",
