1,249","N","N","N","N"
"B25122",117.000,"$1,250 to $1,499","N","N","N","N"
"B25122",118.000,"$1,500 to $1,999","N","N","N","N"
"B25122",119.000,"$2,000 or more","N","N","N","N"
"B25122",120.000,"No cash rent","N","N","N","N"
"B25123",.,"TENURE BY SELECTED PHYSICAL AND FINANCIAL CONDITIONS",,,,
"B25123",.,"Universe:  Occupied housing units",,,,
"B25123",1.000,"Total:","37,478","+/-1,855","35,623","39,333"
"B25123",2.000,"Owner occupied:","24,427","+/-1,845","22,582","26,272"
"B25123",3.000,"With one selected
