(SGF)
1541,75,3 S DEXTER,STODDARD,MO,36.75,-89.96,(PAH)
1622,100,3 S BENTON,FRANKLIN,IL,37.96,-88.92,(PAH)
1650,100,BROOKLAND,CRAIGHEAD,AR,35.9,-90.58,(MEG)
1700,75,BRAGG CITY,PEMISCOT,MO,36.27,-89.91,PENNY SIZE HAIL IN BRAGG CITY. (MEG)
1732,88,BLYTHEVILLE,MISSISSIPPI,AR,35.93,-89.92,(MEG)
1745,88,PROVIDENCE,WHITE,AR,35.37,-91.68,(LZK)
1755,75,JOINER,MISSISSIPPI,AR,35.51,-90.15,PENNY SIZE HAIL IN JOINER. (MEG)
1800,75,WYNNE,CROSS,AR,35.23,-90.79,(MEG)
1800,88,CHIMES,VAN BUREN,AR,35.7,-92.74,(LZK)
1840,100,
