99252",.,"IMPUTATION OF TENURE",,,,
"B99252",.,"Universe:  Occupied housing units",,,,
"B99252",1.000,"Total:","37,478","+/-1,855","35,623","39,333"
"B99252",2.000,"Imputed","198","+/-171","27","369"
"B99252",3.000,"Not imputed","37,280","+/-1,862","35,418","39,142"
"B992520",.,"IMPUTATION OF PRICE ASKED",,,,
"B992520",.,"Universe:  Vacant-for-sale-only and sold, not occupied housing units",,,,
"B992520",1.000,"Total:","1,582","+/-877","705","2,459"
"B992520",2.000,"Imputed","145","+/-238","0","383"
"B99252
