r, no husband present:","16,188","+/-1,920","14,268","18,108"
"B17017",45.000,"Householder under 25 years","458","+/-372","86","830"
"B17017",46.000,"Householder 25 to 44 years","4,589","+/-1,101","3,488","5,690"
"B17017",47.000,"Householder 45 to 64 years","5,900","+/-1,156","4,744","7,056"
"B17017",48.000,"Householder 65 years and over","5,241","+/-884","4,357","6,125"
"B17017",49.000,"Nonfamily households:","56,606","+/-3,156","53,450","59,762"
"B17017",50.000,"Male householder:","25,819","+/-2,451","23,
