204999 ,LEMONS ALL ,73 ,San Diego ,3743 ,12.80 ,47910 ,333.25 ,TON ,15966100
2007 ,204999 ,LEMONS ALL ,79 ,San Luis Obispo ,1532 ,15.33 ,23486 ,457.55 ,TON ,10746000
2007 ,204999 ,LEMONS ALL ,83 ,Santa Barbara ,1549 ,15.15 ,23467 ,551.02 ,TON ,12930800
2007 ,204999 ,LEMONS ALL ,107 ,Tulare ,3930 ,8.63 ,33900 ,1140.00 ,TON ,38646000
2007 ,204999 ,LEMONS ALL ,111 ,Ventura ,18892 ,16.97 ,320590 ,733.41 ,TON ,235124000
2007 ,204999 ,LEMONS ALL ,991 ,Sum of Others ,377 ,14.35 ,5410 ,491.39 ,TONS ,2658400
2
