,230","2,606"
"C07008",28.000,"Now married, except separated","3,739","+/-1,489","2,250","5,228"
"C07008",29.000,"Divorced or separated","1,173","+/-804","369","1,977"
"C07008",30.000,"Widowed","0","+/-303","0","303"
"C07201",.,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES",,,,
"C07201",.,"Universe:  Population 1 year and over living in a Metropolitan Statistical Area in the United States",,,,
"C07201",1.000,"Total:","776,210","+/-16,
