er), and Gulf War (8/1990 to 8/2001), and Vietnam Era","0","+/-303","0","303"
"B21002",5.000,"Gulf War (8/1990 to 8/2001), no Vietnam Era","7,316","+/-1,142","6,174","8,458"
"B21002",6.000,"Gulf War (8/1990 to 8/2001) and Vietnam Era","871","+/-462","409","1,333"
"B21002",7.000,"Vietnam Era, no Korean War, no World War II","18,413","+/-1,926","16,487","20,339"
"B21002",8.000,"Vietnam Era and Korean War, no World War II","1,181","+/-526","655","1,707"
"B21002",9.000,"Vietnam Era and Korean War and World War 
