000,"$45,000 to $49,999","3,946","+/-1,005","2,941","4,951"
"B19037B",46.000,"$50,000 to $59,999","9,487","+/-1,612","7,875","11,099"
"B19037B",47.000,"$60,000 to $74,999","12,965","+/-1,725","11,240","14,690"
"B19037B",48.000,"$75,000 to $99,999","14,019","+/-1,887","12,132","15,906"
"B19037B",49.000,"$100,000 to $124,999","8,699","+/-1,325","7,374","10,024"
"B19037B",50.000,"$125,000 to $149,999","5,630","+/-1,423","4,207","7,053"
"B19037B",51.000,"$150,000 to $199,999","5,312","+/-1,071","4,241","6,383"
