000,"Under 18 years:","55,865","+/-1,320","54,545","57,185"
"B05003H",15.000,"Native","55,825","+/-1,324","54,501","57,149"
"B05003H",16.000,"Foreign born:","40","+/-72","0","112"
"B05003H",17.000,"Naturalized U.S. citizen","0","+/-265","0","265"
"B05003H",18.000,"Not a U.S. citizen","40","+/-72","0","112"
"B05003H",19.000,"18 years and over:","227,066","+/-736","226,330","227,802"
"B05003H",20.000,"Native","226,287","+/-855","225,432","227,142"
"B05003H",21.000,"Foreign born:","779","+/-468","311","1,247"
