mericas:",293,"30 percent or more","49.6","+/-2.6","50.7","+/-5.8"
"686","Americas:",294,"Median gross rent (dollars)","710","+/-22","627","+/-26"
"687","Latin America:",1,"Total population","967,089","*****","88,235","+/-6,752"
"687","Latin America:",2,"One race","96.8","+/-0.5","N","N"
"687","Latin America:",3,"Two races","3.0","+/-0.4","N","N"
"687","Latin America:",4,"Three races","0.2","+/-0.1","N","N"
"687","Latin America:",5,"Four or more races","0.0","+/-0.1","N","N"
"687","Latin America:",6,"Male",
