,234,"Median income (dollars)","22,028","+/-2,695","22,239","+/-3,029"
"450","Not Hispanic or Latino",235,"Individuals","665,912","+/-4,758","650,776","+/-4,918"
"450","Not Hispanic or Latino",236,"Per capita income (dollars)","20,233","+/-542","20,439","+/-545"
"450","Not Hispanic or Latino",237,"Male","118,428","+/-4,292","114,878","+/-3,990"
"450","Not Hispanic or Latino",238,"Female","81,602","+/-4,138","79,948","+/-4,055"
"450","Not Hispanic or Latino",239,"Male","42,638","+/-1,869","43,302","+/-1,876"
