2-045)",103,"Unmarried women 15 to 50 years who had a birth in the past 12 months","2,792","+/-1,024","N","N"
"535","German (032-045)",104,"As a percent of all women with a birth in the past 12 months","41.3","+/-10.5","68.2","+/-34.7"
"535","German (032-045)",105,"Population 30 years and over","422,119","+/-3,123","50,520","+/-3,658"
"535","German (032-045)",106,"Living with grandchild(ren)","3.4","+/-0.6","3.8","+/-1.4"
"535","German (032-045)",107,"Responsible for grandchild(ren)","51.9","+/-6.9","43.0",
