00,"Plastics and rubber products","N","N","N","N"
"B24040",124.000,"Nonmetallic mineral products","N","N","N","N"
"B24040",125.000,"Metal and metal products","N","N","N","N"
"B24040",126.000,"Machinery","N","N","N","N"
"B24040",127.000,"Computer and electronic products","N","N","N","N"
"B24040",128.000,"Electrical equipment, appliances, and components","N","N","N","N"
"B24040",129.000,"Transportation equipment","N","N","N","N"
"B24040",130.000,"Furniture and related products","N","N","N","N"
"B24040",131.00
