"N","N"
"C04002",32.000,"Unclassified or not reported","N","N","N","N"
"C04003",.,"TOTAL ANCESTRY REPORTED",,,,
"C04003",.,"Universe:  Total ancestry categories tallied for people with one or more ancestry categories reported",,,,
"C04003",1.000,"Total:","121,805","+/-8,345","113,460","130,150"
"C04003",2.000,"American","2,055","+/-858","1,197","2,913"
"C04003",3.000,"Arab","334","+/-342","0","676"
"C04003",4.000,"British","216","+/-345","0","561"
"C04003",5.000,"Czech","305","+/-289","16","594"
"C04003",6.
