193"
"B24032",45.000,"Management of companies and enterprises","-","**","**","**"
"B24032",46.000,"Administrative and support and waste management services","16,966","+/-10,029","6,937","26,995"
"B24032",47.000,"Educational services, and health care and social assistance:","24,513","+/-2,736","21,777","27,249"
"B24032",48.000,"Educational services","31,550","+/-1,484","30,066","33,034"
"B24032",49.000,"Health care and social assistance","21,600","+/-1,290","20,310","22,890"
"B24032",50.000,"Arts, entertainm
