 (8/1990 to 8/2001), no Vietnam Era","2,118","+/-777","1,341","2,895"
"B21002",6.000,"Gulf War (8/1990 to 8/2001) and Vietnam Era","156","+/-195","0","351"
"B21002",7.000,"Vietnam Era, no Korean War, no World War II","13,327","+/-1,441","11,886","14,768"
"B21002",8.000,"Vietnam Era and Korean War, no World War II","152","+/-174","0","326"
"B21002",9.000,"Vietnam Era and Korean War and World War II","92","+/-109","0","201"
"B21002",10.000,"Korean War, no Vietnam Era, no World War II","5,428","+/-961","4,467"
