",8.000,"Grandparent responsible for own grandchildren under 18 years:","23,342","+/-2,613","20,729","25,955"
"B10055",9.000,"30 to 59 years","16,255","+/-2,009","14,246","18,264"
"B10055",10.000,"60 years and over","7,087","+/-1,436","5,651","8,523"
"B10055",11.000,"Grandparent not responsible for own grandchildren under 18 years","39,448","+/-4,076","35,372","43,524"
"B10056",.,"SEX OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT"
