alone, not Hispanic or Latino",149,"Northern America","3.4","+/-2.4","N","N"
"451","White alone, not Hispanic or Latino",150,"Population 5 years and over","628,683","+/-4,553","589,018","+/-4,326"
"451","White alone, not Hispanic or Latino",151,"English only","96.0","+/-0.5","98.2","+/-0.4"
"451","White alone, not Hispanic or Latino",152,"Language other than English","4.0","+/-0.5","1.8","+/-0.4"
"451","White alone, not Hispanic or Latino",153,"Speak English less than ""very well""","1.5","+/-0.4","0.5","+/
