00,"Graduate or professional degree","674","+/-444","230","1,118"
"B07010",.,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) FOR CURRENT RESIDENCE IN THE UNITED STATES",,,,
"B07010",.,"Universe:  Population 15 years and over in the United States",,,,
"B07010",1.000,"Total:","576,486","+/-464","576,022","576,950"
"B07010",2.000,"No income","69,038","+/-4,196","64,842","73,234"
"B07010",3.000,"With income:","507,448","+/-4,127","503,321",
