17A",.,"Universe:  White alone population 16 years and over with earnings in the past 12 months",,,,
"B20017A",0.700,"Median earnings in the past 12 months (in 2007 inflation-adjusted dollars) --",,,,
"B20017A",1.000,"Total:","22,465","+/-742","21,723","23,207"
"B20017A",1.700,"Male --",,,,
"B20017A",2.000,"Total","30,509","+/-949","29,560","31,458"
"B20017A",3.000,"Worked full-time, year-round in the past 12 months","38,663","+/-1,944","36,719","40,607"
"B20017A",4.000,"Other","11,612","+/-1,135","10,477",
