RAL LARGE TREE LIMBS DOWN. (JKL)
0252,UNK,COLLINS,COVINGTON,MS,31.64,-89.56,A FEW TREES WERE BLOWN DOWN. (JAN)
0257,UNK,CRANE HILL,CULLMAN,AL,34.09,-87.06,A TRAINED SPOTTER REPORTED PENNY SIZE HAIL AND 60 MPH WINDS. (HUN)
0310,UNK,LANCASTER,GARRARD,KY,37.62,-84.58,LARGE TREES DOWN ALONG FISHER FORD RD AND HIGH BRIDGE ROAD AND OTHER PLACES IN NORTHERN GARRARD CO. POWER OUT IN PLACES. (LMK)
0315,UNK,PEBWORTH,OWSLEY,KY,37.5,-83.73,SEVERAL TREES DOWN OFF ROUTE 11 (JKL)
0320,UNK,HOLLY POND,CULLMAN,AL,34.17,-86.6
