00 to $39,999","2,388","+/-856","1,532","3,244"
"B19037H",61.000,"$40,000 to $44,999","3,435","+/-1,120","2,315","4,555"
"B19037H",62.000,"$45,000 to $49,999","2,492","+/-698","1,794","3,190"
"B19037H",63.000,"$50,000 to $59,999","4,443","+/-1,031","3,412","5,474"
"B19037H",64.000,"$60,000 to $74,999","3,917","+/-971","2,946","4,888"
"B19037H",65.000,"$75,000 to $99,999","3,204","+/-911","2,293","4,115"
"B19037H",66.000,"$100,000 to $124,999","1,943","+/-608","1,335","2,551"
"B19037H",67.000,"$125,000 to $1
