MATED. (DVN)
0525,61,11 W SOUTH PEKIN,TAZEWELL,IL,40.5,-89.86,(ILX)
0555,UNK,DWIGHT,LIVINGSTON,IL,41.1,-88.42,LAW ENFORCEMENT ESTIMATED 70 MPH WINDS. PUBLIC REPORT OF FLAG POLE BENT OVER BY THE WINDS AND SEVERAL SHINGLES PEELED OF ROOF OF A HOME. (LOT)
0600,UNK,PATTON,CAMBRIA,PA,40.63,-78.65,SPORADIC REPORTS OF TREES DOWN ACROSS THE NORTHERN PART OF THE COUNTY (CTP)
0705,UNK,NAZARETH,NORTHAMPTON,PA,40.74,-75.31,WIRES DOWNED (PHI)
0712,UNK,PHILLIPSBURG,WARREN,NJ,40.69,-75.18,TREES DOWNED (PHI)
0735,UNK,3 WSW
