ving alone,"9,402",426,738,"2,827","1,762",722,"1,860",691,212,164
..Living with nonrelatives,"2,635",43,176,776,594,228,559,167,45,47
.RELATIVE OF HOUSEHOLDER,,,,,,,,,,
..Spouse,"15,333",441,"1,019","4,685","2,636","1,237","3,235","1,303",448,329
..Other,"14,134","1,090","4,796","3,780","2,875",481,892,155,43,21
.NONRELATIVE,,,,,,,,,,
..Nonrelative,"4,158",132,406,"1,572",843,265,744,122,39,34
15 to 17 years,,,,,,,,,,
.Total,"4,045",841,"3,152",36,14,2,-,-,-,-
.FAMILY HOUSEHOLDER,,,,,,,,,,
..Marr
