,"Boston, MA",R40,R54,R90,R88,R95,R102,R111,R111,R115,R122,R123,R130,136,23,58,240,50
Small,"Boulder, CO",0,0,0,0,0,0,0,0,0,0,0,0,0,NM,68,NM,57
Small,"Brownsville, TX",0,0,0,0,0,0,0,0,0,0,0,0,0,NM,68,NM,57
Large,"Buffalo-Niagara Falls, NY",R2,R2,R5,R4,R4,R5,R5,R5,R5,R5,R5,R7,9,80,24,350,39
Small,"Charleston, SC",2,4,6,6,6,6,6,6,6,6,7,8,9,50,42,350,39
Medium,"Charlotte, NC",R2,R5,R7,R10,R11,R11,R11,R12,R13,R17,R18,R20,24,118,8,"1,100",12
Very large,"Chicago, IL-Northwestern, IN",R76,R130,R220,R225,R233
